# Cycle: 2940, status: ACC, move: None
#     Time       Orderp
         0     0.306290
         1     0.312374
         2     0.316091
         3     0.316419
         4     0.316629
         5     0.318533
         6     0.320134
         7     0.319461
         8     0.317747
         9     0.315166
        10     0.314582
        11     0.314496
        12     0.315064
        13     0.313656
        14     0.312208
        15     0.312133
        16     0.313405
        17     0.314002
        18     0.314096
        19     0.313985
        20     0.314979
        21     0.315887
        22     0.316158
        23     0.317781
        24     0.319777
        25     0.320808
        26     0.320032
        27     0.317125
        28     0.313207
        29     0.310100
        30     0.307558
