# Cycle: 2877, status: ACC, move: ('wf', 9000, 2, 64)
#     Time       Orderp
         0     0.308914
         1     0.312590
         2     0.317302
         3     0.319888
         4     0.324666
         5     0.330729
         6     0.336118
         7     0.338438
         8     0.338432
         9     0.336420
        10     0.335446
        11     0.332666
        12     0.330280
        13     0.328520
        14     0.330788
        15     0.332665
        16     0.335169
        17     0.336229
        18     0.337387
        19     0.338216
        20     0.339912
        21     0.337984
        22     0.334990
        23     0.334657
        24     0.333581
        25     0.331818
        26     0.328148
        27     0.324811
        28     0.320833
        29     0.318437
        30     0.318007
        31     0.317319
        32     0.318027
        33     0.320592
        34     0.323659
        35     0.327376
        36     0.330047
        37     0.333217
        38     0.333929
        39     0.331366
        40     0.330669
        41     0.330255
        42     0.329782
        43     0.330551
        44     0.329727
        45     0.329158
        46     0.330513
        47     0.334159
        48     0.338090
        49     0.337288
        50     0.338076
        51     0.339083
        52     0.336945
        53     0.334593
        54     0.332445
        55     0.330438
        56     0.327174
        57     0.326714
        58     0.324564
        59     0.323401
        60     0.321862
        61     0.316958
        62     0.312683
        63     0.308761
